route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
30000010,26031301,260313010057S10,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S11,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S12,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S13,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S14,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S15,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S16,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S17,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S2,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S3,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S4,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S5,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S6,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S7,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S8,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010057S9,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S10,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S11,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S12,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S13,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S14,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S15,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S16,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S2,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S3,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S4,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S5,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S6,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S7,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S8,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26031301,260313010058S9,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S10,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S11,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S12,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S13,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S14,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S15,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S16,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S17,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S2,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S3,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
